Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Supplier,Item_Type,Item_MRP,Sale_Date,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,low fat,0.016047301,Cantouniv,Dairy,249.8092,30/11/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138
DRC01,5.92,regular,0.019278216,Coynow,Soft Drinks,48.2692,20/06/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228
FDN15,17.5,low fat,0.016760075,Hahlee,Meat,141.618,11/09/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,19.2,regular,0.068512943,Fitimp,Fruits and Vegetables,182.095,11/11/2018,OUT010,1998,Small,Tier 3,Grocery Store,732.38
NCD19,8.93,low fat,0.061322313,Ileumshun,Household,53.8614,03/04/2018,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052
FDP36,10.395,regular,0.0691693,Leepad,Baking Goods,51.4008,09/09/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088
FDO10,13.65,regular,0.012741089,Cspkit,Snack Foods,57.6588,08/03/2017,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528
FDP10,12.98787955,low fat,0.127469857,Volfig,Snack Foods,107.7622,04/01/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636
FDH17,16.2,regular,0.016687114,Airare,Frozen Foods,96.9726,20/02/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986
FDU28,19.2,regular,0.09444959,Skidssops,Frozen Foods,187.8214,19/06/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535
FDY07,11.8,low fat,0.068512943,Funvex,Fruits and Vegetables,45.5402,17/01/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266
FDA03,18.5,regular,0.045463773,Aportzeds,Dairy,144.1102,18/06/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153
FDX32,15.1,regular,0.1000135,Laxnod,Fruits and Vegetables,145.4786,06/05/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646
FDS46,17.6,regular,0.047257328,Fewcad,Snack Foods,119.6782,27/06/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076
FDF32,16.35,low fat,0.0680243,Ifsgun,Fruits and Vegetables,196.4426,25/05/2017,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426
FDP49,9,regular,0.069088961,Volfig,Breakfast,56.3614,09/10/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192
NCB42,11.8,low fat,0.008596051,Reeksmisc,Health and Hygiene,115.3492,11/10/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888
FDP49,9,regular,0.069196376,Midnam,Breakfast,54.3614,14/01/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982
DRI11,11.40032787,low fat,0.034237682,Syriameal,Hard Drinks,113.2834,26/04/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668
FDU02,13.35,low fat,0.10249212,Ifsgun,Dairy,230.5352,10/12/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
FDN22,18.85,regular,0.138190277,Rantsknox,Snack Foods,250.8724,11/07/2018,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086
FDW12,12.27710821,regular,0.035399923,Fewcad,Baking Goods,144.5444,04/12/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432
NCB30,14.6,low fat,0.025698134,Reeksmisc,Household,196.5084,23/06/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
FDC37,12.27710821,low fat,0.057556998,Lexlee,Baking Goods,107.6938,25/08/2018,OUT019,1985,Small,Tier 1,Grocery Store,214.3876
FDR28,13.85,regular,0.025896485,Volfig,Frozen Foods,165.021,25/01/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
NCD06,13,low fat,0.099887103,Rantsknox,Household,45.906,12/02/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908
FDV10,7.645,regular,0.066693437,Lexlee,Snack Foods,42.3112,12/01/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
